index,Apple_Returns,Microsoft_Returns,Inflation_Change
2014-05-31,-0.00352578228294409,0.014873574615765772,0.05025067580776055
2014-06-30,0.010000000000000009,-0.013017751479289852,0.0071472955810480965
2014-07-31,-0.026079869600652006,-0.009603359454777083,-0.020723620960982236
2014-08-31,0.0027386541471048353,0.01225490196078427,-0.06638742726916169
2014-09-30,0.006392329204954139,-0.0017226528854435985,-0.004516040442732239
2014-10-31,0.009345794392523255,0.01954397394136831,0.02630180958583117
2014-11-30,-0.0006722689075630006,0.0012565445026178068,-0.0011571535421840418
2014-12-31,-0.018841094916459245,-0.012122501063377311,-0.01896859010367924
2015-01-31,-0.014799865455768613,-0.038324208521780534,0.007719151184004236
2015-02-28,-0.014723926380368235,-0.004653274316195666,-0.0019470087762127886
2015-03-31,-0.015194681861348536,-0.0074462890625,0.008663550174725865
2015-04-30,-0.027052238805970075,-0.008560945780676787,0.03221944445282143
2015-05-31,-0.011532625189681456,-0.012434141201264515,0.0013882193688494748
2015-06-30,0.007388371345968592,-0.004958305161144927,0.02293683484224407
2015-07-31,-0.008499509643674408,-0.0038395904436859807,0.012712170561649527
2015-08-31,-0.004590395480225995,-0.00933302982016837,0.018179983337049288
2015-09-30,0.011367803447011271,0.01887661141804786,0.04579046628560568
2015-10-31,-0.008297378028543023,-0.013493253373313308,0.02951507051243607
2015-11-30,0.004414261460101931,0.00778787316892271,0.025319290325122035
2015-12-31,-0.019008572493477427,-0.014739833066950925,0.017903429555776063
2016-01-31,0.03486394557823136,0.05830371722216898,0.009592627190925684
2016-02-29,-0.0024762690879075455,-0.008187134502923854,0.03144161090407138
2016-03-31,-0.005111354508944843,0.003269754768392419,-0.004743026010409546
2016-04-30,-0.011387600168705214,-0.0006012024048096531,0.002064749858879722
2016-05-31,-0.0047827819848546005,0.012996941896024516,0.013529112003887178
2016-06-30,0.012711864406779627,0.012465373961218829,-0.0007986193123220575
2016-07-31,-0.0015331544653123252,0.008361501512186509,0.0023505741275355874
2016-08-31,0.0011320754716981352,-0.007427880462946956,0.05708626255275506
2016-09-30,0.007486631016042855,0.0034843205574912606,-0.03370261605015856
2016-10-31,-0.00140696447414701,0.0008351428094204305,-0.0466820507017871
2016-11-30,-0.008611410118406937,-0.013586511704043347,0.006512491867378012
2016-12-31,-0.007539410555174708,-0.012082670906200299,0.02649208040772444
2017-01-31,-0.00230187438342655,-0.007369875633348566,0.025704312791698936
2017-02-28,0.0005842827928719263,-0.0038922621827807147,0.004837203058068784
2017-03-31,-0.0016675931072817063,0.0022827575711459325,-0.08555989981107615
2017-04-30,-0.0011126564673158423,0.002783067233045333,-0.08245717573687117
2017-05-31,-0.005986465382613271,-0.008095440988495906,-0.042957106409169166
2017-06-30,0.0025055679287304677,0.0064242955175939365,-0.008190653167784778
2017-07-31,-0.005350454788657144,-0.004654983570646309,0.004555845152157678
2017-08-31,0.003917727717923425,0.010268882583434502,-0.026611601494903048
2017-09-30,0.005480167014613846,0.00839312305401374,0.007858617178309713
2017-10-31,0.013915547024951902,-0.008463464060078585,0.04123022692475797
2017-11-30,0.013924946896389123,0.00995920326373878,-0.035717615096751865
2017-12-31,-0.010755202244563944,-0.002099860009332599,0.008278395639971903
2018-01-31,0.0028749401054144474,0.024477032564157897,0.019193873377209236
2018-02-28,-0.0015695067264573925,-0.0045647558386412435,-0.016091217861705975
2018-03-31,0.007928880345987599,0.02103143528358875,0.11484333529116131
2018-04-30,0.018235584031542684,-0.024003339595074058,0.05267044794406228
2018-05-31,-0.0034129692832765013,-0.0011116725618999235,0.02071767769361932
2018-06-30,-0.0021561017680035155,-0.0002027780594139328,0.0034149728768186893
2018-07-31,0.0018955349620892736,0.006738160766821544,-0.012987985016636672
2018-08-31,0.011553501599715688,0.0033943724877176784,-0.03426695670436908
2018-09-30,0.0035561877667140696,-0.0003496197884799157,0.012513345636465
2018-10-31,0.026064129008062986,0.029692470837751728,-0.01934523024051904
2018-11-30,-0.005346402316774412,0.0063526635810873255,0.025331686013292165
2018-12-31,0.00972862263184826,0.01175415878075503,-0.00817511421738959
2019-01-31,0.0072621641249090985,-0.01833051325437096,-0.033026582410929595
2019-02-28,-0.00983531564501372,-0.0012481055540697339,0.0003743072789081925
2019-03-31,0.006570580754557076,0.008637646455144088,-0.00799556218309938
2019-04-30,-0.01915933528836744,0.006395931263003751,0.01520060281398039
2019-05-31,-0.018169582772543658,-0.01630478008430758,-0.013319274331497377
2019-06-30,-0.009211053263916691,-0.0014163250093178759,0.013424524429847429
2019-07-31,0.02030651340996159,-0.0290701816886354,0.034826592192500394
2019-08-31,-0.0011483253588516762,-0.0018824210831160926,0.062390874029604415
2019-09-30,0.023396088466459464,0.009438756988310537,-0.002837593398413496
2019-10-31,0.022525485037816484,-0.008574787359103886,0.047527692271326805
2019-11-30,-0.0022401433691755512,-0.006171218487394992,0.00888958929915451
2019-12-31,0.0072722283205268745,0.0006980138333649855,-0.007002832951121252
2020-01-31,-0.04433740891688287,-0.014758652621831292,0.01375967309559778
2020-02-29,-0.0005849663644339476,0.02421292198760905,0.0034463555426227366
2020-03-31,-0.0020408163265306367,-0.015727391874180707,-0.06912179239248883
2020-04-30,0.021131655776449376,0.010032125345206477,-0.1639061242951898
2020-05-31,-0.0008798391151333407,0.010198456449834525,-0.07579555669352378
2020-06-30,0.008291873963515828,0.025549284418463936,-0.01022570427080538
2020-07-31,0.1046886370724609,0.005443845022069516,0.14433541471871214
2020-08-31,0.033891515102956404,-0.0147656284129134,-0.029866526862296405
