DATE,GDP,GDP_standardized
1970-04-01,1067.375,-0.8237676747071317
1970-07-01,1086.059,-0.8212692451628603
1970-10-01,1088.608,-0.8209283921919575
1971-01-01,1135.156,-0.8147039810151889
1971-04-01,1156.271,-0.8118804774919984
1971-07-01,1177.675,-0.8090183288104749
1971-10-01,1190.297,-0.8073305115492999
1972-01-01,1230.609,-0.8019399799827902
1972-04-01,1266.369,-0.7971581430900934
1972-07-01,1290.566,-0.7939225136915312
1972-10-01,1328.904,-0.7887959459400714
1973-01-01,1377.49,-0.7822990128509056
1973-04-01,1413.887,-0.777431996145551
1973-07-01,1433.838,-0.7747641430178611
1973-10-01,1476.289,-0.7690875837915784
1974-01-01,1491.209,-0.7670924773475338
1974-04-01,1530.056,-0.7618978459781102
1974-07-01,1560.026,-0.7578902494547847
1974-10-01,1599.679,-0.7525878395468958
1975-01-01,1616.116,-0.7503898794516706
1975-04-01,1651.853,-0.745611118125208
1975-07-01,1709.82,-0.7378597551733358
1975-10-01,1761.831,-0.7309048301558287
1976-01-01,1820.487,-0.7230613339372041
1976-04-01,1852.332,-0.7188030119056624
1976-07-01,1886.558,-0.7142263019087542
1976-10-01,1934.273,-0.7078458391756719
1977-01-01,1988.648,-0.7005747994374061
1977-04-01,2055.909,-0.6915806402864084
1977-07-01,2118.473,-0.6832145652485261
1977-10-01,2164.27,-0.6770905779953149
1978-01-01,2202.76,-0.6719436847626555
1978-04-01,2331.633,-0.6547107522718137
1978-07-01,2395.053,-0.6462302126819137
1978-10-01,2476.949,-0.6352790573641204
1979-01-01,2526.61,-0.6286383749835774
1979-04-01,2591.247,-0.6199950978238112
1979-07-01,2667.565,-0.6097898341779269
1979-10-01,2723.883,-0.6022589759530137
1980-01-01,2789.842,-0.5934389205949213
1980-04-01,2797.352,-0.5924346813593466
1980-07-01,2856.483,-0.5845276680119738
1980-10-01,2985.557,-0.5672678577466512
1981-01-01,3124.206,-0.5487276758860385
1981-04-01,3162.532,-0.5436027127778312
1981-07-01,3260.609,-0.5304878297542011
1981-10-01,3280.818,-0.5277854767965805
1982-01-01,3274.302,-0.528656798082733
1982-04-01,3331.972,-0.5209451500513622
1982-07-01,3366.322,-0.516351858740844
1982-10-01,3402.561,-0.511505969838315
1983-01-01,3473.413,-0.5020316211939819
1983-04-01,3578.848,-0.4879328244159764
1983-07-01,3689.179,-0.47317933319091704
1983-10-01,3794.706,-0.45906823414797504
1984-01-01,3908.054,-0.44391130886516217
1984-04-01,4009.601,-0.4303324165009934
1984-07-01,4084.25,-0.42035033198748906
1984-10-01,4148.551,-0.41175198483879516
1985-01-01,4230.168,-0.40083813747662445
1985-04-01,4294.887,-0.39218389525463226
1985-07-01,4386.773,-0.37989687442906367
1985-10-01,4444.094,-0.37223189477228885
1986-01-01,4507.894,-0.3637005414793903
1986-04-01,4545.34,-0.3586932522097057
1986-07-01,4607.669,-0.35035860143551967
1986-10-01,4657.627,-0.3436782041344753
1987-01-01,4722.156,-0.33504936876398245
1987-04-01,4806.16,-0.3238163311148187
1987-07-01,4884.555,-0.31333333046596634
1987-10-01,5007.994,-0.29682703392800247
1988-01-01,5073.372,-0.28808467004738925
1988-04-01,5190.036,-0.2724843283457794
1988-07-01,5282.835,-0.2600752209127435
1988-10-01,5399.509,-0.2444735420084231
1989-01-01,5511.253,-0.2295311040403722
1989-04-01,5612.463,-0.21599727540754682
1989-07-01,5695.365,-0.20491159749707857
1989-10-01,5747.237,-0.19797525959724732
