Date,Close/Last,Volume,Open,High,Low
2014-05-06,39.06,27105700,39.29,39.35,38.95
2014-05-07,39.425,41731030,39.22,39.51,38.51
2014-05-08,39.64,32089010,39.34,39.9,38.97
2014-05-09,39.54,29646100,39.54,39.85,39.37
2014-05-12,39.97,22761620,39.74,40.02,39.65
2014-05-13,40.42,26994040,39.92,40.5,39.85
2014-05-14,40.24,18803840,40.3,40.45,40.05
2014-05-15,39.6,37717220,40.09,40.4,39.51
2014-05-16,39.83,29867030,39.67,39.84,39.27
2014-05-19,39.75,23640880,39.61,39.82,39.46
2014-05-20,39.68,21318920,39.68,39.94,39.46
2014-05-21,40.35,22377460,39.8,40.35,39.7399
2014-05-22,40.1,20201010,40.29,40.35,39.85
2014-05-23,40.12,18013300,40.37,40.37,40.0
2014-05-27,40.19,26160450,40.26,40.26,39.81
2014-05-28,40.01,25711440,40.14,40.19,39.82
2014-05-29,40.34,19887140,40.15,40.35,39.91
2014-05-30,40.94,34564370,40.45,40.97,40.25
2014-06-02,40.79,18493950,40.95,41.09,40.68
2014-06-03,40.29,18041370,40.6,40.68,40.25
2014-06-04,40.32,23198020,40.21,40.37,39.86
2014-06-05,41.21,31839900,40.59,41.25,40.4
2014-06-06,41.48,24042030,41.48,41.66,41.24
2014-06-09,41.27,15011640,41.39,41.48,41.02
2014-06-10,41.11,15002270,41.03,41.16,40.86
2014-06-11,40.86,17635280,40.93,41.07,40.765
2014-06-12,40.58,29812690,40.81,40.88,40.29
2014-06-13,41.23,26305900,41.1,41.565,40.86
2014-06-16,41.5,24127410,41.04,41.61,41.04
2014-06-17,41.68,22473060,41.29,41.91,40.335
2014-06-18,41.65,27053740,41.605,41.74,41.18
2014-06-19,41.51,19828190,41.57,41.77,41.3301
2014-06-20,41.68,47760950,41.445,41.83,41.38
2014-06-23,41.99,18731430,41.73,42.0,41.69
2014-06-24,41.745,26499460,41.83,41.94,41.56
2014-06-25,42.03,20038340,41.7,42.05,41.46
2014-06-26,41.72,23604390,41.93,41.94,41.43
2014-06-27,42.25,70385440,41.61,42.29,41.51
2014-06-30,41.7,30790300,42.17,42.21,41.7
2014-07-01,41.87,26916950,41.86,42.15,41.69
2014-07-02,41.9,20208090,41.73,41.9,41.53
2014-07-03,41.8,15969310,41.91,41.99,41.56
2014-07-07,41.99,21896680,41.75,42.12,41.71
2014-07-08,41.78,31218210,41.87,42.0,41.61
2014-07-09,41.67,18374910,41.98,41.99,41.53
2014-07-10,41.685,21854010,41.37,42.0,41.05
2014-07-11,42.09,24082750,41.7,42.09,41.48
2014-07-14,42.14,21878810,42.22,42.45,42.04
2014-07-15,42.45,28743300,42.33,42.47,42.03
2014-07-16,44.08,63304860,42.51,44.31,42.48
2014-07-17,44.53,82146080,45.45,45.71,44.25
2014-07-18,44.69,43396060,44.65,44.84,44.25
2014-07-21,44.835,37569630,44.56,45.16,44.22
2014-07-22,44.83,42589920,45.0,45.15,44.59
2014-07-23,44.87,52352270,45.45,45.45,44.62
2014-07-24,44.4,30692230,44.93,45.0,44.32
2014-07-25,44.5,26700810,44.3,44.66,44.3
2014-07-28,43.97,29650540,44.36,44.51,43.93
2014-07-29,43.885,27755840,43.91,44.09,43.64
2014-07-30,43.5785,31918500,44.07,44.1,43.29
2014-07-31,43.16,31527670,43.38,43.69,43.08
2014-08-01,42.86,30926280,43.21,43.25,42.6
2014-08-04,43.37,34200470,42.97,43.47,42.81
2014-08-05,43.08,26258880,43.31,43.46,42.83
2014-08-06,42.74,24625300,42.74,43.17,42.21
2014-08-07,43.23,30300560,42.84,43.45,42.65
2014-08-08,43.2,28942570,43.23,43.315,42.91
2014-08-11,43.2,19829060,43.26,43.45,43.02
2014-08-12,43.52,21422980,43.04,43.59,43.0
2014-08-13,44.08,22851140,43.68,44.18,43.52
2014-08-14,44.27,19304230,44.08,44.417,44.01
2014-08-15,44.79,41573360,44.58,44.895,44.4
2014-08-18,45.11,26882850,44.94,45.11,44.68
2014-08-19,45.33,28087670,44.97,45.34,44.83
2014-08-20,44.95,24747360,45.34,45.4,44.9
2014-08-21,45.22,22272010,44.84,45.25,44.83
2014-08-22,45.15,18293690,45.35,45.47,45.07
2014-08-25,45.17,16815800,45.4,45.44,45.04
2014-08-26,45.005,14850670,45.31,45.395,44.94
2014-08-27,44.87,20822900,44.9,45.0,44.76
2014-08-28,44.88,17656590,44.75,44.98,44.61
2014-08-29,45.43,21577940,45.09,45.44,44.855
2014-09-02,45.09,22956270,45.43,45.46,44.85
2014-09-03,44.96,33662430,44.53,45.11,44.53
2014-09-04,45.26,26475110,44.74,45.27,44.72
2014-09-05,45.91,36687170,45.11,45.93,45.11
2014-09-08,46.47,45709750,46.02,46.8,45.99
2014-09-09,46.76,40248050,46.47,46.97,46.42
2014-09-10,46.84,27297820,46.82,46.94,46.28
2014-09-11,47.0,29201070,46.74,47.0,46.47
2014-09-12,46.695,38224850,46.91,47.02,46.6
2014-09-15,46.24,37630230,46.54,46.71,46.1
2014-09-16,46.76,27865200,46.39,46.85,46.29
2014-09-17,46.52,38247550,46.26,46.69,46.23
2014-09-18,46.68,35493560,46.59,46.83,46.46
2014-09-19,47.52,202514100,46.81,47.57,46.6
2014-09-22,47.06,38655550,47.3,47.38,46.98
2014-09-23,46.56,33386790,46.85,46.98,46.47
2014-09-24,47.08,26533890,46.63,47.11,46.34
2014-09-25,46.04,32927320,46.88,47.09,46.03
2014-09-26,46.41,27051350,45.93,46.62,45.76
2014-09-29,46.44,26057810,45.98,46.56,45.76
2014-09-30,46.36,32996820,46.37,46.4763,46.01
2014-10-01,45.9,38050210,46.27,46.53,45.845
2014-10-02,45.76,25297400,45.83,46.1,45.64
2014-10-03,46.09,32351720,45.98,46.3,45.61
2014-10-06,46.09,20532430,46.12,46.3,45.9199
2014-10-07,45.53,25617210,45.86,45.93,45.42
2014-10-08,46.78,32977510,45.48,46.89,45.34
2014-10-09,45.85,34422150,46.5,46.8,45.74
2014-10-10,44.03,51877600,45.6,46.12,43.95
2014-10-13,43.65,37020680,43.82,44.56,43.49
2014-10-14,43.73,38097300,43.87,44.38,43.56
2014-10-15,43.22,60188290,43.0,43.39,42.1
2014-10-16,42.74,49007120,42.53,43.08,42.22
2014-10-17,43.63,40654940,43.2,43.935,42.79
2014-10-20,44.08,34523930,43.06,44.14,42.81
2014-10-21,44.88,36234890,44.36,44.975,44.19
2014-10-22,44.38,33570230,45.0,45.07,44.225
2014-10-23,45.02,43844860,44.62,45.445,44.53
2014-10-24,46.13,61053110,46.83,46.9,45.18
2014-10-27,45.91,30319900,45.71,46.1,45.71
2014-10-28,46.49,29001420,45.86,46.5,45.77
2014-10-29,46.62,30274720,46.44,46.7,46.34
2014-10-30,46.05,30040850,46.32,46.32,45.77
2014-10-31,46.95,35826980,46.94,46.97,46.48
2014-11-03,47.44,23078100,46.89,47.46,46.73
2014-11-04,47.57,21287870,47.301,47.73,47.25
2014-11-05,47.86,22447160,47.8,47.9,47.26
2014-11-06,48.7,33033070,47.86,48.86,47.79
2014-11-07,48.68,27987700,48.92,48.92,48.2901
2014-11-10,48.89,36364840,48.65,49.15,48.55
2014-11-11,48.87,22180480,48.85,48.93,48.645
2014-11-12,48.78,22721330,48.56,48.92,48.52
2014-11-13,49.61,26207930,48.81,49.645,48.705
2014-11-14,49.58,29074940,49.74,50.045,49.39
2014-11-17,49.46,30309630,49.41,49.705,49.14
2014-11-18,48.74,23938060,49.13,49.325,48.7
2014-11-19,48.22,26166200,48.66,48.7549,47.93
2014-11-20,48.7,21486310,48.0,48.7,47.87
2014-11-21,47.98,42867970,49.02,49.05,47.57
2014-11-24,47.59,34266860,47.99,48.0,47.39
2014-11-25,47.47,27951120,47.66,47.97,47.45
2014-11-26,47.75,27162850,47.49,47.99,47.28
2014-11-28,47.81,21534430,47.95,48.195,47.61
2014-12-01,48.62,31187680,47.88,48.78,47.71
2014-12-02,48.46,25768100,48.84,49.05,48.2
2014-12-03,48.08,23528130,48.44,48.5,47.805
2014-12-04,48.84,30342050,48.39,49.06,48.2
2014-12-05,48.42,26705270,48.82,48.97,48.38
2014-12-08,47.695,26652610,48.26,48.35,47.445
2014-12-09,47.59,24326090,47.11,47.92,47.05
2014-12-10,46.9,30284690,47.58,47.66,46.7001
2014-12-11,47.17,29060360,47.08,47.74,46.68
2014-12-12,46.95,34247280,46.78,47.73,46.67
2014-12-15,46.67,29213490,47.2,47.67,46.55
2014-12-16,45.16,47764300,45.9,46.34,45.13
2014-12-17,45.74,34967260,45.05,45.945,44.9
2014-12-18,47.52,40031480,46.58,47.52,46.3386
2014-12-19,47.66,64504160,47.63,48.1,47.17
2014-12-22,47.98,26561880,47.78,48.12,47.71
2014-12-23,48.45,23654190,48.37,48.8,48.13
2014-12-24,48.14,11442790,48.64,48.64,48.08
2014-12-26,47.88,13197120,48.41,48.41,47.82
2014-12-29,47.45,14417170,47.7,47.78,47.26
2014-12-30,47.02,16380820,47.44,47.62,46.84
2014-12-31,46.45,21551090,46.73,47.44,46.45
2015-01-02,46.76,27843560,46.66,47.42,46.54
2015-01-05,46.325,39667400,46.37,46.73,46.25
2015-01-06,45.65,36434980,46.38,46.749,45.54
2015-01-07,46.23,29103920,45.98,46.46,45.49
2015-01-08,47.59,29634030,46.75,47.7499,46.72
2015-01-09,47.19,23942750,47.61,47.82,46.9
2015-01-12,46.6,23623970,47.42,47.54,46.36
2015-01-13,46.355,35258300,46.97,47.91,46.06
2015-01-14,45.955,29713190,45.96,46.24,45.62
2015-01-15,45.48,32744260,46.22,46.38,45.41
2015-01-16,46.24,35683380,45.31,46.28,45.17
2015-01-20,46.39,36121800,46.3,46.65,45.57
2015-01-21,45.92,37113740,45.94,46.14,45.48
2015-01-22,47.13,35842790,46.38,47.135,46.08
2015-01-23,47.18,26136690,47.36,47.39,46.8
2015-01-26,47.01,40995700,47.0,47.1339,46.2399
2015-01-27,42.66,169115000,42.95,43.2,42.105
2015-01-28,41.19,84453280,42.74,42.79,41.16
